epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
70,432.888,0.99578,0.66595,1.14328,0.99465,1,0.995,0.62992,1.40861,0.66247,1.52337,0.0006338,0.0006338,0.0006338
71,439.17,1.01437,0.61294,1.12712,0.99527,1,0.995,0.63231,1.39587,0.62899,1.5451,0.000614,0.000614,0.000614
72,445.123,1.034,0.72294,1.15923,0.99534,1,0.995,0.63982,1.46147,0.6133,1.64826,0.0005942,0.0005942,0.0005942
73,451.064,0.97077,0.63316,1.10121,0.99522,1,0.995,0.61008,1.5101,0.63341,1.6854,0.0005744,0.0005744,0.0005744
74,457.116,0.96432,0.60136,1.09935,0.99513,1,0.995,0.58712,1.62659,0.66607,1.75016,0.0005546,0.0005546,0.0005546
75,463.455,0.93258,0.63129,1.1086,0.99516,1,0.995,0.56196,1.6217,0.64706,1.72235,0.0005348,0.0005348,0.0005348
76,469.654,0.9592,0.62057,1.0855,0.9943,1,0.995,0.61371,1.4385,0.5978,1.53406,0.000515,0.000515,0.000515
77,475.535,0.97907,0.60798,1.11056,0.99438,1,0.995,0.64158,1.36141,0.6109,1.45578,0.0004952,0.0004952,0.0004952
78,481.572,0.91867,0.60161,1.07153,0.99473,1,0.995,0.6449,1.27947,0.61791,1.37211,0.0004754,0.0004754,0.0004754
79,487.67,0.90822,0.611,1.03993,0.99506,1,0.995,0.66627,1.22368,0.61768,1.32101,0.0004556,0.0004556,0.0004556
80,493.654,0.91474,0.60961,1.08807,0.99535,1,0.995,0.67244,1.21625,0.59416,1.31043,0.0004358,0.0004358,0.0004358
81,500.09,0.84007,0.6072,1.06921,0.99525,1,0.995,0.67543,1.23068,0.59108,1.32956,0.000416,0.000416,0.000416
82,506.438,0.87501,0.58071,1.08072,0.99538,1,0.995,0.65743,1.26218,0.57331,1.38685,0.0003962,0.0003962,0.0003962
83,512.612,0.89669,0.56067,1.05246,0.9952,1,0.995,0.6357,1.31695,0.58425,1.44346,0.0003764,0.0003764,0.0003764
84,518.554,0.89024,0.6072,1.029,0.99499,1,0.995,0.63768,1.33077,0.57931,1.4468,0.0003566,0.0003566,0.0003566
85,524.544,0.8342,0.54391,1.03387,0.99508,1,0.995,0.64531,1.31974,0.5763,1.42271,0.0003368,0.0003368,0.0003368
86,530.527,0.88033,0.58988,1.03794,0.99521,1,0.995,0.66511,1.2886,0.57051,1.37725,0.000317,0.000317,0.000317
87,536.567,0.80541,0.56951,0.9836,0.99541,1,0.995,0.63527,1.31768,0.57635,1.40042,0.0002972,0.0002972,0.0002972
88,542.66,0.83926,0.5284,1.02626,0.99583,1,0.995,0.61039,1.39042,0.60243,1.47993,0.0002774,0.0002774,0.0002774
89,548.57,0.86735,0.55762,1.00108,0.9958,1,0.995,0.61673,1.3996,0.60877,1.48986,0.0002576,0.0002576,0.0002576
90,555.014,0.85127,0.56125,1.04266,0.99549,1,0.995,0.59892,1.4097,0.62598,1.49742,0.0002378,0.0002378,0.0002378
91,561.304,0.77394,0.5645,1.01358,0.99517,1,0.995,0.59384,1.39644,0.61745,1.50111,0.000218,0.000218,0.000218
92,567.223,0.79921,0.56086,1.06514,0.99525,1,0.995,0.60775,1.36983,0.61445,1.48594,0.0001982,0.0001982,0.0001982
93,573.043,0.7843,0.5361,1.05546,0.99519,1,0.995,0.60942,1.35848,0.60409,1.47851,0.0001784,0.0001784,0.0001784
94,578.904,0.76786,0.55102,1.02991,0.99529,1,0.995,0.61388,1.37247,0.59426,1.48904,0.0001586,0.0001586,0.0001586
95,584.839,0.71734,0.53153,0.98002,0.99583,1,0.995,0.59282,1.39945,0.58659,1.52419,0.0001388,0.0001388,0.0001388
96,590.867,0.74368,0.53324,1.06002,0.99573,1,0.995,0.59727,1.41181,0.57774,1.54326,0.000119,0.000119,0.000119
97,596.81,0.738,0.54674,1.01534,0.99566,1,0.995,0.59692,1.4158,0.57726,1.54224,9.92e-05,9.92e-05,9.92e-05
98,603.015,0.74181,0.49633,1.01112,0.99568,1,0.995,0.60645,1.40472,0.57636,1.52766,7.94e-05,7.94e-05,7.94e-05
99,609.08,0.67837,0.50257,1.00315,0.99569,1,0.995,0.61133,1.40038,0.5702,1.5223,5.96e-05,5.96e-05,5.96e-05
100,615.467,0.73137,0.52801,1.05101,0.99566,1,0.995,0.6119,1.39571,0.56638,1.51428,3.98e-05,3.98e-05,3.98e-05
